seq,robot_id,timestamp_ns,publish_time_ns,publish_dt_ms,x,y,yaw_rad,yaw_deg,v_linear,v_angular
161,go2_001,1443810000000,1776178066216611447,50.029,0.112199,-0.167232,1.039635,59.566681,0.000000,-0.002495
162,go2_001,1443890000000,1776178066266656972,50.046,0.112199,-0.167232,1.039930,59.583577,0.000000,-0.000935
163,go2_001,1443930000000,1776178066316578237,49.921,0.112199,-0.167232,1.040281,59.603723,0.000000,-0.004577
164,go2_001,1443990000000,1776178066366535612,49.957,0.112199,-0.167232,1.040320,59.605972,0.000000,-0.010137
165,go2_001,1444030000000,1776178066416571513,50.036,0.112199,-0.167232,1.040385,59.609687,0.000000,-0.009708
166,go2_001,1444070000000,1776178066466571589,50.000,0.112199,-0.167232,1.039614,59.565519,0.000000,-0.024907
167,go2_001,1444130000000,1776178066516586332,50.015,0.112199,-0.167232,1.039216,59.542714,0.000000,-0.015486
168,go2_001,1444190000000,1776178066566554600,49.968,0.112199,-0.167232,1.039327,59.549031,0.000000,-0.013920
169,go2_001,1444230000000,1776178066616594669,50.040,0.112199,-0.167232,1.039779,59.574953,0.000000,0.000951
170,go2_001,1444265000000,1776178066666574437,49.980,0.112199,-0.167232,1.039818,59.577163,0.000000,-0.001641
171,go2_001,1444325000000,1776178066716593735,50.019,0.112199,-0.167232,1.039854,59.579241,-0.000000,-0.006417
172,go2_001,1444385000000,1776178066766578320,49.985,0.112199,-0.167232,1.040068,59.591519,-0.000000,0.000019
173,go2_001,1444425000000,1776178066816586176,50.008,0.112199,-0.167232,1.039621,59.565886,-0.000000,-0.013864
174,go2_001,1444485000000,1776178066866549325,49.963,0.112199,-0.167232,1.039619,59.565767,-0.000000,-0.009927
175,go2_001,1444525000000,1776178066916571501,50.022,0.112199,-0.167232,1.039973,59.586052,-0.000000,0.001177
176,go2_001,1444565000000,1776178066966566098,49.995,0.112199,-0.167232,1.040147,59.596025,-0.000000,0.000990
177,go2_001,1444625000000,1776178067016551058,49.985,0.112199,-0.167232,1.039658,59.568010,-0.000000,-0.024949
178,go2_001,1444685000000,1776178067066574724,50.024,0.112199,-0.167232,1.039622,59.565947,-0.000000,-0.008723
179,go2_001,1444725000000,1776178067116583550,50.009,0.112199,-0.167232,1.039702,59.570550,-0.000000,-0.005491
180,go2_001,1444785000000,1776178067166585111,50.002,0.112199,-0.167232,1.039667,59.568503,-0.000000,-0.003389
181,go2_001,1444825000000,1776178067216584031,49.999,0.112199,-0.167232,1.039627,59.566243,-0.000000,-0.006516
182,go2_001,1444865000000,1776178067266589567,50.006,0.112199,-0.167232,1.039515,59.559847,-0.000000,-0.008619
183,go2_001,1444925000000,1776178067316581291,49.992,0.112199,-0.167232,1.039241,59.544140,-0.000000,-0.017420
184,go2_001,1444985000000,1776178067366562361,49.981,0.112199,-0.167232,1.039923,59.583221,-0.000000,0.007484
185,go2_001,1445025000000,1776178067416633803,50.071,0.112199,-0.167232,1.040002,59.587717,-0.000000,0.003511
186,go2_001,1445085000000,1776178067466542034,49.908,0.112199,-0.167232,1.039740,59.572736,-0.000000,-0.009728
187,go2_001,1445125000000,1776178067516580057,50.038,0.112199,-0.167232,1.039555,59.562099,-0.000000,-0.011271
188,go2_001,1445165000000,1776178067566574529,49.994,0.112199,-0.167232,1.039686,59.569647,-0.000000,-0.001425
189,go2_001,1445225000000,1776178067616555250,49.981,0.112199,-0.167232,1.039757,59.573681,-0.000000,-0.010265
